scenario,method,true,estimate,se,covered,rep,seed
Observed-state MAR,Coarse locked state,1.075913495469201,1.2239851011817668,0.09746115960885322,1,9,3647505179
Observed-state MAR,Design erasure,1.075913495469201,1.3030930313781397,0.10068091911608125,0,9,3647505179
Observed-state MAR,Admissible refinement,1.075913495469201,1.169394143474678,0.0979497657518801,1,9,3647505179
Observed-state MAR,IPCW admissible refinement,1.075913495469201,1.1546107205593197,0.10078262514973034,1,9,3647505179
Observed-state MAR,Mediator-as-state,1.075913495469201,0.812507366164376,0.09915834963301871,0,9,3647505179
Observed-state MAR,Post-action leakage,1.075913495469201,1.0236803171052251,0.10209575767404436,1,9,3647505179
Observed-state MAR,Oracle state,1.075913495469201,1.1844862281362638,0.09410614457885798,1,9,3647505179
Complete,Untyped naive contrast,1.0859596753046625,1.7656539216324685,0.15592255099267743,0,10,3894189146
Complete,Coarse locked state,1.0859596753046625,1.0992024259369535,0.09608299869792211,1,10,3894189146
Complete,Design erasure,1.0859596753046625,1.2736816607207695,0.09710049552877724,1,10,3894189146
Complete,Admissible refinement,1.0859596753046625,1.1053751858268874,0.09736286529787809,1,10,3894189146
Complete,Mediator-as-state,1.0859596753046625,0.7691899175676682,0.09595809131430892,0,10,3894189146
Complete,Post-action leakage,1.0859596753046625,0.9146631519836006,0.09417397101718665,1,10,3894189146
Complete,Oracle state,1.0859596753046625,1.121372077929524,0.09283296760591796,1,10,3894189146
Observed-state MAR,Untyped naive contrast,1.0564607841063445,1.904839212301387,0.1698061193120663,0,10,3894189146
Observed-state MAR,Coarse locked state,1.0564607841063445,1.0496691714338666,0.10625974766366791,1,10,3894189146
Observed-state MAR,Design erasure,1.0564607841063445,1.2255214806619474,0.1104118114809234,1,10,3894189146
Observed-state MAR,Admissible refinement,1.0564607841063445,1.0216372098144908,0.10588131920274893,1,10,3894189146
Observed-state MAR,IPCW admissible refinement,1.0564607841063445,1.0252375323761582,0.10673437465579994,1,10,3894189146
Observed-state MAR,Mediator-as-state,1.0564607841063445,0.7048650060747934,0.10597818505327092,0,10,3894189146
Observed-state MAR,Post-action leakage,1.0564607841063445,0.8412973388512973,0.10374002825356972,0,10,3894189146
Observed-state MAR,Oracle state,1.0564607841063445,1.0279204470194712,0.10433756371468876,1,10,3894189146
Complete,Untyped naive contrast,1.0420659486485053,1.7777612651846337,0.1269913965847445,0,11,734937059
Complete,Coarse locked state,1.0420659486485053,1.1645391796032447,0.08770269211391402,1,11,734937059
Complete,Design erasure,1.0420659486485053,1.3241350324795078,0.08885756863651303,0,11,734937059
Complete,Admissible refinement,1.0420659486485053,1.1591510341424018,0.08244182683855594,1,11,734937059
Complete,Mediator-as-state,1.0420659486485053,0.8134709203215356,0.09392015832014065,0,11,734937059
Complete,Post-action leakage,1.0420659486485053,0.9595387220870617,0.08672576929545822,1,11,734937059
Complete,Oracle state,1.0420659486485053,1.1852066147663292,0.07985879180008026,1,11,734937059
Observed-state MAR,Untyped naive contrast,1.0573742280163418,2.206611758497681,0.18375982332322666,0,11,734937059
Observed-state MAR,Coarse locked state,1.0573742280163418,1.23144773741363,0.11453204268290366,1,11,734937059
Observed-state MAR,Design erasure,1.0573742280163418,1.404346185648496,0.10777319584857656,0,11,734937059
Observed-state MAR,Admissible refinement,1.0573742280163418,1.2334139033624114,0.10378362988237738,1,11,734937059
Observed-state MAR,IPCW admissible refinement,1.0573742280163418,1.2264373164212943,0.10387804863933824,1,11,734937059
Observed-state MAR,Mediator-as-state,1.0573742280163418,0.751706814402646,0.11141603758250207,0,11,734937059
Observed-state MAR,Post-action leakage,1.0573742280163418,0.947310682580566,0.12015454065480223,1,11,734937059
Observed-state MAR,Oracle state,1.0573742280163418,1.2952482975743569,0.10566940824997202,0,11,734937059
Complete,Untyped naive contrast,1.0865942630425307,1.7019203714860112,0.17564504308225876,0,12,1256563811
Complete,Coarse locked state,1.0865942630425307,0.9254931834995003,0.08619494525745244,1,12,1256563811
Complete,Design erasure,1.0865942630425307,1.1188113019780068,0.09467189173646634,1,12,1256563811
