variant,method,true,estimate,se,covered,rep,seed
Baseline,Oracle state,1.080485360527222,1.0652741286252985,0.08828835005264955,1,12,2708427380
Positivity stress,Design erasure,1.034308054974939,1.165824721434232,0.10588485197661404,1,12,2708427380
Positivity stress,Admissible refinement,1.034308054974939,0.9130365718378166,0.10456126584498546,1,12,2708427380
Positivity stress,Oracle state,1.034308054974939,0.9204379613437433,0.1038632933349602,1,12,2708427380
Outcome compression,Design erasure,1.052065638135913,1.1809090466785903,0.09312843202415619,1,12,2708427380
Outcome compression,Admissible refinement,1.052065638135913,1.1470322714763714,0.09704555105813643,1,12,2708427380
Outcome compression,Oracle state,1.052065638135913,1.1266242122349188,0.09256115499066782,1,12,2708427380
Nonclassical representation,Design erasure,1.0828838396602982,1.171057829460695,0.08722229116709015,1,12,2708427380
Nonclassical representation,Admissible refinement,1.0828838396602982,1.1315881655113331,0.08833803959451914,1,12,2708427380
Nonclassical representation,Oracle state,1.0828838396602982,1.0826358735973343,0.08798955182453974,1,12,2708427380
Baseline,Design erasure,1.088612759634161,1.156654472247723,0.09441783491347897,1,13,1835932702
Baseline,Admissible refinement,1.088612759634161,1.009360827262015,0.09321213929423755,1,13,1835932702
Baseline,Oracle state,1.088612759634161,0.9771199507460799,0.09297507503201849,1,13,1835932702
Positivity stress,Design erasure,1.0671767343353966,1.379455510531537,0.09432945293851008,0,13,1835932702
Positivity stress,Admissible refinement,1.0671767343353966,1.1649047519906959,0.0930651077205159,1,13,1835932702
Positivity stress,Oracle state,1.0671767343353966,1.1325487322510719,0.09288553034808142,1,13,1835932702
Outcome compression,Design erasure,1.0876809413504962,1.0614420837920513,0.09018334383269969,1,13,1835932702
Outcome compression,Admissible refinement,1.0876809413504962,1.0288990776012255,0.09170540131027433,1,13,1835932702
Outcome compression,Oracle state,1.0876809413504962,1.0191728996520257,0.0923302046278326,1,13,1835932702
Nonclassical representation,Design erasure,1.056852976799026,1.133743257966066,0.0868640318064216,1,13,1835932702
Nonclassical representation,Admissible refinement,1.056852976799026,1.0689354315196193,0.09022775040485011,1,13,1835932702
Nonclassical representation,Oracle state,1.056852976799026,1.091636667616145,0.08449191354063446,1,13,1835932702
Baseline,Design erasure,1.0623285005919247,1.208582019853309,0.09441534955374094,1,14,1064118044
Baseline,Admissible refinement,1.0623285005919247,1.1211813647612454,0.09619622664584455,1,14,1064118044
Baseline,Oracle state,1.0623285005919247,1.114318783286207,0.09134804971310215,1,14,1064118044
Positivity stress,Design erasure,1.0474284450942266,1.3337488838506857,0.09501877363808688,0,14,1064118044
Positivity stress,Admissible refinement,1.0474284450942266,1.1629604010223629,0.0969842923172955,1,14,1064118044
Positivity stress,Oracle state,1.0474284450942266,1.151466191449633,0.09411986759156955,1,14,1064118044
Outcome compression,Design erasure,1.0814457529282726,1.131197802486989,0.09354991529078728,1,14,1064118044
Outcome compression,Admissible refinement,1.0814457529282726,1.0626337138307207,0.09720918103553851,1,14,1064118044
Outcome compression,Oracle state,1.0814457529282726,1.08206091620283,0.09514645017189352,1,14,1064118044
Nonclassical representation,Design erasure,1.0804880129492576,1.0397550114557472,0.08032452274645968,1,14,1064118044
Nonclassical representation,Admissible refinement,1.0804880129492576,1.0180908108107136,0.08042008184028193,1,14,1064118044
Nonclassical representation,Oracle state,1.0804880129492576,0.9912619195561096,0.08129532923628159,1,14,1064118044
Baseline,Design erasure,1.082650249539459,1.0639414034742785,0.09060079818635557,1,15,4188643257
Baseline,Admissible refinement,1.082650249539459,0.9299092189615753,0.08958101860426691,1,15,4188643257
Baseline,Oracle state,1.082650249539459,0.9236667657293453,0.09027679548490498,1,15,4188643257
Positivity stress,Design erasure,1.0596758271308746,1.072857792892847,0.09093351207627763,1,15,4188643257
Positivity stress,Admissible refinement,1.0596758271308746,0.8579361350959237,0.09087091262607327,0,15,4188643257
Positivity stress,Oracle state,1.0596758271308746,0.8805990402420849,0.08996689814500675,0,15,4188643257
Outcome compression,Design erasure,1.064891599919725,1.1245700550572377,0.0828054051580454,1,15,4188643257
Outcome compression,Admissible refinement,1.064891599919725,1.0735728127590278,0.08136582286596226,1,15,4188643257
Outcome compression,Oracle state,1.064891599919725,1.1129122495193144,0.07937536990618063,1,15,4188643257
Nonclassical representation,Design erasure,1.064958897400682,1.010449077037393,0.09376547646262853,1,15,4188643257
Nonclassical representation,Admissible refinement,1.064958897400682,0.968517647478791,0.09160517194001237,1,15,4188643257
Nonclassical representation,Oracle state,1.064958897400682,0.9746990612751459,0.08923500460944789,1,15,4188643257
Baseline,Design erasure,1.06831411373372,1.3421922029501958,0.09901666638699154,0,16,1326597349
Baseline,Admissible refinement,1.06831411373372,1.18425865708109,0.0953358050719437,1,16,1326597349
Baseline,Oracle state,1.06831411373372,1.1748538412903713,0.09466337244449831,1,16,1326597349
Positivity stress,Design erasure,1.0558167968706722,1.0672855482333596,0.11359765197110278,1,16,1326597349
Positivity stress,Admissible refinement,1.0558167968706722,0.821516053576711,0.11809586711799996,0,16,1326597349
Positivity stress,Oracle state,1.0558167968706722,0.8204334330048634,0.11013509216541442,0,16,1326597349
Outcome compression,Design erasure,1.0557334620490324,1.0275193899782409,0.09846186184134209,1,16,1326597349
Outcome compression,Admissible refinement,1.0557334620490324,0.9951138158891986,0.09938283053889367,1,16,1326597349
Outcome compression,Oracle state,1.0557334620490324,1.0041300659275871,0.09307128884366044,1,16,1326597349
Nonclassical representation,Design erasure,1.055622134925508,1.2351894250315647,0.09173315938096058,1,16,1326597349
Nonclassical representation,Admissible refinement,1.055622134925508,1.1809213967296532,0.09459952926676661,1,16,1326597349
Nonclassical representation,Oracle state,1.055622134925508,1.1863026111770483,0.09116448989247815,1,16,1326597349
Baseline,Design erasure,1.0731982391229062,1.197056177949773,0.0778487892173678,1,17,542256143
